PatientID;Name;Age;Phone
1;Иванова Анна Сергеевна;76;79526748392
2;Смирнов Дмитрий Алексеевич;62;79011465561
3;Кузнецова Екатерина Владимировна;50;79331114532
4;Попов Артём Николаевич;63;79031234570
5;Васильева Ольга Игоревна;37;79221234576
6;Петров Максим Александрович;65;79158934524
7;Соколова Татьяна Дмитриевна;66;79644829001
8;Михайлов Иван Павлович;34;79087478504
9;Новикова Мария Андреевна;45;79091362887
10;Фёдоров Кирилл Евгеньевич;25;79105692761
11;Морозова Наталья Юрьевна;38;79116667737
12;Волков Алексей Сергеевич;22;79123201878
13;Алексеева Дарья Романовна;32;79133367279
14;Лебедев Владимир Олегович;28;79142125080
15;Семёнова Юлия Артуровна;36;79152390581
16;Егоров Глеб Константинович;29;79164782298
17;Павлова Анастасия Эдуардовна;20;79173422997
18;Козлов Никита Денисович;31;79183026484
19;Степанова Виктория Александровна;33;79191234585
20;Николаев Павел Ильич;19;79201234588
21;Орлова Елена Геннадьевна;50;79211284952
22;Андреев Вадим Станиславович;79;79222894488
23;Макарова София Валентиновна;31;79233829557
24;Захаров Руслан Даниилович;55;79244455390
25;Григорьева Полина Артёмовна;58;79253649264
26;Борисов Егор Максимович;41;79264637282
27;Емельянова Вероника Павловна;37;79274436299
28;Виноградов Марк Кириллович;68;79283627594
29;Федотова Валерия Андреевна;70;79247382585
30;Беляев Александр Сергеевич;42;79301234516
31;Герасимова Ксения Игоревна;53;79311746397
32; Соболев Андрей Владимирович;66;79323659263
33;Ефимова Варвара Дмитриевна;20;79333421794
34;Гусев Сергей Николаевич;48;79344478900
35;Тихомирова Милана Романовна;61;79365788342
36;Абрамов Матвей Алексеевич;51;79371428894
37;Калинина Ульяна Борисовна;25;79383388903
38;Королёв Тимофей Олегович;30;79396677539
39;Рожкова Алиса Александровна;32;79455784531
40;Леонтьев Даниил Павлович;49;79424534606
41;Воробьёва Мирослава Эдуардовна;76;79495675606
42;Гаврилов Лев Сергеевич;38;79505389003
43;Кудрявцева Арина Ильинична;39;79516783468
44;Белов Ярослав Денисович;34;79521678900
45;Куликова Карина Руслановна;79;79531324611
46;Фролов Степан Максимович;62;79543334642
47;Богданова Элина Тимуровна;59;79558975686
48;Шевченко Тарас Петрович;33;79585744690
49;Бондаренко Оксана Сергеевна;43;79591012687
50;Кравченко Илья Валентинович;39;79604562614
51;Савельева Вероника Игоревна;77;79611674627
52;Трофимов Никита Евгеньевич;36;79626743211
53;Журавлёва Камилла Артёмовна;72;79636578900
54;Мухин Фёдор Иванович;74;79646431620
55;Цветкова Лидия Романовна;71;79657786342
56;Кузьмин Георгий Андреевич;27;79666799533
57;Ширяева Амина Алексеевна;60;79678466747
58;Чернышёв Дамир Маратович;42;79689083491
59;Осипова Яна Максимовна;49;79693351825
60;Рябинин Вячеслав Викторович;83;79708955326
